Symbol,Number,Mass,Abundance
H,1,1.007825,0.999885
H,1,2.014102,0.000115
H,1,3.016049,0.000000
He,2,3.016029,0.000001
He,2,4.002603,0.999999
Li,3,6.015123,0.075900
Li,3,7.016003,0.924100
Be,4,9.012183,1.000000
B,5,10.012937,0.199000
B,5,11.009305,0.801000
C,6,12.000000,0.989300
C,6,13.003355,0.010700
C,6,14.003242,0.000000
N,7,14.003074,0.996360
N,7,15.000109,0.003640
O,8,15.994915,0.997570
O,8,16.999132,0.000380
O,8,17.999160,0.002050
F,9,18.998403,1.000000
Ne,10,19.992440,0.904800
Ne,10,20.993847,0.002700
Ne,10,21.991385,0.092500
Na,11,22.989769,1.000000
Mg,12,23.985042,0.789900
Mg,12,24.985837,0.100000
Mg,12,25.982593,0.110100
Al,13,26.981539,1.000000
Si,14,27.976927,0.922230
Si,14,28.976495,0.046850
Si,14,29.973770,0.030920
P,15,30.973762,1.000000
S,16,31.972071,0.949900
S,16,32.971459,0.007500
S,16,33.967867,0.042500
S,16,35.967081,0.000100
Cl,17,34.968853,0.757600
Cl,17,36.965903,0.242400
Ar,18,35.967545,0.003336
Ar,18,37.962732,0.000629
Ar,18,39.962383,0.996035
K,19,38.963706,0.932581
K,19,39.963998,0.000117
K,19,40.961825,0.067302
Ca,20,39.962591,0.969410
Ca,20,41.958618,0.006470
Ca,20,42.958766,0.001350
Ca,20,43.955482,0.020860
Ca,20,45.953689,0.000040
Ca,20,47.952523,0.001870
Sc,21,44.955908,1.000000
Ti,22,45.952628,0.082500
Ti,22,46.951759,0.074400
Ti,22,47.947942,0.737200
Ti,22,48.947866,0.054100
Ti,22,49.944787,0.051800
V,23,49.947156,0.002500
V,23,50.943957,0.997500
Cr,24,49.946042,0.043450
Cr,24,51.940506,0.837890
Cr,24,52.940648,0.095010
Cr,24,53.938879,0.023650
Mn,25,54.938044,1.000000
Fe,26,53.939609,0.058450
Fe,26,55.934936,0.917540
Fe,26,56.935393,0.021190
Fe,26,57.933274,0.002820
Co,27,58.933194,1.000000
Ni,28,57.935342,0.680770
Ni,28,59.930786,0.262230
Ni,28,60.931056,0.011399
Ni,28,61.928345,0.036346
Ni,28,63.927967,0.009255
Cu,29,62.929598,0.691500
Cu,29,64.927790,0.308500
Zn,30,63.929142,0.491700
Zn,30,65.926034,0.277300
Zn,30,66.927128,0.040400
Zn,30,67.924845,0.184500
Zn,30,69.925319,0.006100
Ga,31,68.925573,0.601080
Ga,31,70.924703,0.398920
Ge,32,69.924249,0.205700
Ge,32,71.922076,0.274500
Ge,32,72.923459,0.077500
Ge,32,73.921178,0.365000
Ge,32,75.921403,0.077300
As,33,74.921595,1.000000
Se,34,73.922476,0.008900
Se,34,75.919214,0.093700
Se,34,76.919914,0.076300
Se,34,77.917309,0.237700
Se,34,79.916522,0.496100
Se,34,81.916699,0.087300
Br,35,78.918338,0.506900
Br,35,80.916290,0.493100
Kr,36,77.920365,0.003550
Kr,36,79.916378,0.022860
Kr,36,81.913483,0.115930
Kr,36,82.914127,0.115000
Kr,36,83.911498,0.569870
Kr,36,85.910611,0.172790
Rb,37,84.911790,0.721700
Rb,37,86.909181,0.278300
Sr,38,83.913419,0.005600
Sr,38,85.909261,0.098600
Sr,38,86.908878,0.070000
Sr,38,87.905613,0.825800
Y,39,88.905840,1.000000
Zr,40,89.904698,0.514500
Zr,40,90.905640,0.112200
Zr,40,91.905035,0.171500
Zr,40,93.906311,0.173800
Zr,40,95.908271,0.028000
Nb,41,92.906373,1.000000
Mo,42,91.906808,0.145300
Mo,42,93.905085,0.091500
Mo,42,94.905839,0.158400
Mo,42,95.904676,0.166700
Mo,42,96.906018,0.096000
Mo,42,97.905405,0.243900
Mo,42,99.907472,0.098200
Tc,43,96.906367,0.000000
Tc,43,97.907212,0.000000
Tc,43,98.906251,0.000000
Ru,44,95.907590,0.055400
Ru,44,97.905287,0.018700
Ru,44,98.905934,0.127600
Ru,44,99.904214,0.126000
